Barcode,Months,Nitrite,AOB,Nitrospira
116042,0,1,99925.12277,1171647.49
116043,0,1,230151.1689,861201.015
116045,0,1,85200.42533,847310.3419
116665,0,1,68513.81348,1357158.664
116676,0,1,9976.078992,447135.5875
116708,0,1,124346.9891,1785812.24
116709,0,1,200198.9085,1322864.226
116712,0,1,80048.64154,1325929.064
116714,0,1,139938.2243,1354637.049
116716,0,1,124328.7003,1054475.855
116731,0,1,171745.0962,1293646.597
116735,0,1,172074.3904,972777.371
133907,24,12.4,23085023.96,1517475.312
133908,24,21.5,30849337.51,2282202.868
133909,24,0.8,7518483.838,1522698.728
133912,24,0.9,5285748.489,1874558.749
133914,24,20.8,23353502.28,2629407.077
133915,24,0.2,286722.2683,1712848.995
133916,24,1,2126570.569,1183705.112
133917,24,11.6,23439247.12,1574530.084
133918,24,3.5,9738837.361,1434845.38
133919,24,0.099909893,1466867.019,1566677.099
133920,24,0.1,192985.1569,1726305.544
133921,24,0.1,2661743.5,1220808.719
136607,36,51.52786113,39408788.59,1409340.028
136611,36,24.06199901,38443464.86,1565784.193
136612,21,0.6,615893.6493,1427825.883
136615,36,99.4,64335978.88,1326065.685
136616,21,0.6,2943474.33,1208415.699
136619,36,51.2,38888455.13,1860885.736
136623,36,62.6,66371647.37,1392040.281
136627,36,84.31914525,62598038.1,1396384.571
136628,21,0.148580208,1003573.348,1250181.33
136631,36,41.93822299,38555671.72,1710231.107
136632,21,1,135099.291,1311311.149
136635,36,51.1,43192328.82,1762780.552
136636,21,0.074734474,306955.3096,1252273.192
136643,36,75.1,60108254.25,1534308.007
136648,21,0.8,310339.3403,1662873.132
136650,36,54.1,60077363.94,1554024.102
136651,21,0.1,71398.17063,1435277.185
136652,21,0.4,42435.95601,2131583.071
136654,36,57.4,32067872.83,1404657.233
136655,21,1.3,308912.4179,1299438.198
136656,21,0.5,855368.3291,1484655.748
136658,36,74.76342711,24004558.51,1078681.33
136659,21,0.1,648407.3083,1886256.708
136660,21,0.5,68280.31543,1062275.741
168786,60,160,22268469.23,1619707.796
168787,60,5,27174731.99,993572.9616
168789,60,54,18428095.23,1002247.024
168790,60,36,10744689.05,1077376.288
168791,60,180,41077409.91,1788934.999
168792,60,120,73464497.03,3507653.706
168793,60,50,35720339.69,1272954.43
168794,60,20,19370270.62,1802937.631
168796,60,94,27897730.34,801692.2228
168797,60,47,42800333.16,2532115.324
168798,60,6.7,3923877.776,1154843.138
133698,21,0.1,,
133911,24,0.1,,
136618,12,0.28272731,,
133913,24,0.9,,
116031,0,1,,
116032,0,1,,
116033,0,1,,
116034,0,1,,
116038,0,1,,
116039,0,1,,
116040,0,1,,
116041,0,1,,
116617,12,1,,
116664,0,1,,
116666,0,1,,
116668,0,1,,
116669,0,1,,
116672,0,1,,
116673,0,1,,
116674,0,1,,
116675,0,1,,
116678,0,1,,
116700,0,1,,
116701,0,1,,
116702,0,1,,
116703,0,1,,
116704,0,1,,
116706,0,1,,
116715,0,1,,
116716.2,0,1,,
116717,0,1,,
116721,0,1,,
116725,0,1,,
116729,0,1,,
116730,0,1,,
116732,0,1,,
116733,0,1,,
116734,0,1,,
123481,10,1,,
123839,12,1,,
123890,12,1,,
123928,12,1,,
133608,21,1,,
136605,12,1,,
136606,12,1,,
136610,12,1,,
136620,10,1,,
136621,12,1,,
136624,10,1,,
136625,12,1,,
136630,12,1,,
136634,12,1,,
136637,12,1,,
136640,10,1,,
136641,12,1,,
136644,10,1,,
136649,12,1,,
136661,10,1,,
136665,10,1,,
136669,10,1,,
136677,10,1,,
136681,10,1,,
136685,10,1,,
136689,10,1,,
136693,10,1,,
168788,60,5,,
136622,48,10.7,,
136638,48,33.6,,
147564,36,41.93822299,,
154761,48,50.6,,
136633,48,54.72983911,,
136614,48,56.4,,
136613,48,58.21387585,,
136653,48,63.70642658,,
136642,48,69.1,,
136657,48,70.4,,
168795,60,100,,
136646,48,106,,
136629,48,120,,
