Sample,AOB,Nitrospira,Nitrobacter,Treatment,Temperature,Weeks
N7_10,6.148340093,6.485294639,5.330931926,DAP,7,3
N7_29,5.797419934,6.354968259,5.133823878,DAP,7,3
N7_30,6.015843329,6.609491207,5.363221978,DAP,7,3
N7_24,6.510873183,6.389677388,5.367256913,DAP,7,6
N7_28,6.795822326,6.511483186,5.311053192,DAP,7,6
N7_36,6.213135168,6.315261306,5.221676506,DAP,7,6
N7_23,6.463005279,5.830298005,4.397968688,DAP,7,9
N7_27,5.972629065,5.963877852,4.783392863,DAP,7,9
N7_37,6.595264681,5.76202647,4.503970836,DAP,7,9
N15_19,6.56725683,6.457382088,5.386509798,DAP,15,3
N15_22,6.438181553,6.427115082,5.536399078,DAP,15,3
N15_6,6.540832194,6.313504841,5.308052817,DAP,15,3
N15_12,7.645464838,6.697035159,6.048170127,DAP,15,6
N15_27,7.676497675,6.591649478,5.826364939,DAP,15,6
N15_28,7.613908126,6.730546195,6.279149623,DAP,15,6
N15_21,7.672357229,6.747159032,6.081512906,DAP,15,9
N15_29,7.911616457,6.693600576,6.157538145,DAP,15,9
N15_30,7.907991869,6.731506308,6.146359939,DAP,15,9
N7_16,6.118767574,6.316146115,5.106349288,Urea,7,3
N7_17,5.995652747,6.2964545,5.097239249,Urea,7,3
N7_34,6.01433067,6.424891055,5.085220305,Urea,7,3
N7_11,6.492208182,6.512215245,5.241492229,Urea,7,6
N7_33,6.211802968,6.545760837,5.465004744,Urea,7,6
N7_38,6.185964169,6.340551359,5.315427534,Urea,7,6
N7_18,6.50041302,5.810065178,4.393162584,Urea,7,9
N7_26,6.317296478,5.906412267,4.563703703,Urea,7,9
N7_35,6.405118416,5.842432975,4.704873804,Urea,7,9
N15_1,6.391575348,6.501983614,5.68501081,Urea,15,3
N15_20,6.449103032,6.42881278,5.530553718,Urea,15,3
N15_23,6.394371382,6.393976979,5.497387287,Urea,15,3
N15_2,7.413298477,6.719509119,6.291062854,Urea,15,6
N15_26,7.537008934,6.689094097,6.299311362,Urea,15,6
N15_3,7.391645053,6.759446984,6.202491729,Urea,15,6
N15_10,6.682321637,5.96060533,5.378795376,Urea,15,9
N15_15,6.684025871,5.96272063,5.158128114,Urea,15,9
N15_16,6.576140711,5.90885341,5.248607502,Urea,15,9
N7_12,5.442761284,6.053860438,4.373695851,Water,7,0
N7_20,5.307164394,5.87414064,3.790552808,Water,7,0
N7_7,5.143929983,5.92369107,3.814945627,Water,7,0
N7_15,6.088574758,6.355324392,5.244977637,Water,7,3
N7_2,6.046918994,6.457469311,5.251223382,Water,7,3
N7_39,5.971456381,6.457697516,5.332908968,Water,7,3
N7_13,6.311107768,6.892867361,5.507293534,Water,7,6
N7_25,6.000316321,6.432520142,5.305661333,Water,7,6
N7_9,6.096956073,6.498320863,5.217936395,Water,7,6
N7_19,5.38792246,5.828882434,4.134963075,Water,7,9
N7_22,5.609291232,6.061361952,4.471930536,Water,7,9
N7_6,5.503810954,5.67635046,4.290874095,Water,7,9
N15_17,6.083138111,6.463130251,5.520020101,Water,15,3
N15_18,6.011330234,6.441541391,5.329465964,Water,15,3
N15_9,6.019005333,6.468388519,5.376156067,Water,15,3
N15_13,6.43315598,6.762686209,5.467918135,Water,15,6
N15_31,6.328352712,6.694403772,5.646491374,Water,15,6
N15_7,6.325849137,6.658425235,5.614461456,Water,15,6
N15_25,6.181684965,6.641998103,5.702712764,Water,15,9
N15_4,6.541819992,6.621404357,5.652232106,Water,15,9
N15_8,6.247233939,6.682327331,5.708774896,Water,15,9
N7_12,5.442761284,6.053860438,4.373695851,Water,15,0
N7_20,5.307164394,5.87414064,3.790552808,Water,15,0
N7_7,5.143929983,5.92369107,3.814945627,Water,15,0
N7_12,5.442761284,6.053860438,4.373695851,DAP,7,0
N7_20,5.307164394,5.87414064,3.790552808,DAP,7,0
N7_7,5.143929983,5.92369107,3.814945627,DAP,7,0
N7_12,5.442761284,6.053860438,4.373695851,DAP,15,0
N7_20,5.307164394,5.87414064,3.790552808,DAP,15,0
N7_7,5.143929983,5.92369107,3.814945627,DAP,15,0
N7_12,5.442761284,6.053860438,4.373695851,Urea,7,0
N7_20,5.307164394,5.87414064,3.790552808,Urea,7,0
N7_7,5.143929983,5.92369107,3.814945627,Urea,7,0
N7_12,5.442761284,6.053860438,4.373695851,Urea,15,0
N7_20,5.307164394,5.87414064,3.790552808,Urea,15,0
N7_7,5.143929983,5.92369107,3.814945627,Urea,15,0
