Phyla,Nitrogen_fixation ,Urea_hydrolysis,Nitrate_transport,Nitrification ,Anammox ,Nitrate_reduction,Denitrification ,Dissimilatory_nitrate_reduction ,Assimilatory_nitrate_reduction ,Count
Actinobacteriota,No,No,No,No,No,No,No,No,Yes,1
Actinobacteriota,No,No,No,No,No,No,Yes,No,No,3
Actinobacteriota,No,No,No,No,No,No,Yes,Yes,No,1
Actinobacteriota,No,No,No,No,No,No,Yes,Yes,Yes,1
Actinobacteriota,No,No,No,No,No,Yes,No,No,No,1
Actinobacteriota,No,No,No,No,No,Yes,No,Yes,No,1
Actinobacteriota,No,No,No,No,No,Yes,Yes,No,No,2
Actinobacteriota,No,No,No,No,No,Yes,Yes,No,Yes,1
Actinobacteriota,No,No,No,No,No,Yes,Yes,Yes,No,2
Actinobacteriota,No,No,No,No,No,Yes,Yes,Yes,Yes,18
Actinobacteriota,No,Yes,No,No,No,No,Yes,Yes,Yes,2
Actinobacteriota,No,Yes,No,No,No,Yes,No,Yes,Yes,1
Actinobacteriota,No,Yes,No,No,No,Yes,Yes,No,Yes,2
Actinobacteriota,No,Yes,No,No,No,Yes,Yes,Yes,Yes,13
Actinobacteriota,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,1
Actinobacteriota,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,2
Bacteroidota,No,No,No,No,No,No,Yes,No,No,1
Bacteroidota,No,No,No,No,No,No,Yes,No,Yes,5
Bacteroidota,No,No,No,No,No,No,Yes,Yes,Yes,3
Bacteroidota,No,No,No,No,No,Yes,Yes,No,Yes,1
Bacteroidota,No,Yes,No,No,No,No,Yes,No,Yes,1
Bacteroidota,No,Yes,No,No,No,No,Yes,Yes,Yes,5
Bacteroidota,No,Yes,No,No,No,Yes,Yes,No,No,1
Chloroflexota,No,No,No,No,No,No,Yes,No,Yes,1
Firmicutes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,1
Patescibacteria,No,No,No,No,No,No,No,Yes,Yes,1
Patescibacteria,No,No,No,No,No,No,Yes,No,Yes,2
Proteobacteria,No,No,No,No,No,No,Yes,Yes,Yes,2
Proteobacteria,No,No,No,No,No,Yes,Yes,No,Yes,3
Proteobacteria,No,No,No,No,No,Yes,Yes,Yes,No,1
Proteobacteria,No,No,No,No,No,Yes,Yes,Yes,Yes,16
Proteobacteria,No,No,No,No,Yes,Yes,Yes,Yes,Yes,3
Proteobacteria,No,No,No,Yes,No,Yes,Yes,Yes,Yes,1
Proteobacteria,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,1
Proteobacteria,No,Yes,No,No,No,Yes,Yes,No,Yes,4
Proteobacteria,No,Yes,No,No,No,Yes,Yes,Yes,Yes,7
Proteobacteria,No,Yes,No,No,Yes,No,Yes,Yes,Yes,1
Proteobacteria,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,3
Proteobacteria,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,2
Proteobacteria,Yes,No,No,No,No,No,Yes,Yes,Yes,1
Proteobacteria,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,1
Proteobacteria,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,1
Proteobacteria,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,2
Proteobacteria,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,3
Verrucomicrobiota,Yes,No,No,No,No,No,Yes,No,Yes,1
