,NR,amoA_A,amoA_B,amoB_A,amoB_B,amoC_A,amoC_B,ansB,asnB,gdh_K00260,gdh_K00261,gdh_K00262,gdh_K15371,glnA,glsA,gs_K00264,gs_K00265,gs_K00266,gs_K00284,hao,hcp,hzo,hzsA,hzsB,nao,napA,napB,napC,narB,narC,narG,narH,narI,narJ,narV,narW,narY,narZ,nasA,nasB,nifD,nifH,nifK,nifW,nirA,nirB,nirD,nirK,nirS,nmo,norB,norC,nosZ,nrfA,nrfC,nrfD,nxrA,nxrB,pmoA,pmoB,pmoC,ureA,ureB,ureC
BP/T3/2,814,6,2,8,1,23,8,485,8623,241,3835,493,3442,10579,563,133,5664,5255,1846,26,2,0,0,0,44,496,2,8,1033,917,1018,336,303,291,1,0,312,610,2397,77,20,148,4,1,1078,780,673,2232,187,5473,1430,100,1068,51,1293,0,0,29,1,3,1,225,224,1383
BP/T3/102,789,10,0,4,0,26,0,522,9782,266,4017,392,3575,11261,465,144,5296,4724,2064,14,0,0,0,0,39,701,1,7,929,921,625,272,212,207,0,0,206,428,2810,155,23,183,7,1,1095,1148,684,1960,166,5225,1146,89,777,115,1384,0,0,20,0,4,0,264,255,1516
BP/T3/202,826,14,0,12,0,20,2,379,9106,267,3702,516,2769,9600,416,119,5404,4966,1763,24,3,0,0,0,43,461,2,4,1077,873,660,212,155,161,2,0,177,233,2205,55,11,123,0,1,1145,671,641,1745,174,5099,1101,81,850,58,1415,0,0,45,0,2,1,209,206,1260
MP/T2/2,1035,3,0,2,0,9,0,446,8413,236,3141,513,3728,11008,230,183,7226,4788,665,3,1,0,0,0,136,331,0,0,1293,1848,1576,446,648,335,2,0,803,1203,2156,102,1,21,0,0,1441,2302,809,1177,140,4108,551,18,592,0,1042,0,0,8,0,6,0,257,222,1356
MP/T2/102,1066,2,12,0,0,5,0,283,6645,248,3917,331,2258,10271,288,194,7032,4712,1112,14,0,0,0,0,105,402,0,2,1145,1275,550,115,247,118,2,0,223,322,2326,117,0,43,0,0,962,2041,892,698,134,4098,461,18,328,0,1101,0,3,10,23,65,54,220,200,1341
MP/T2/202,1061,2,1,3,0,4,0,246,6660,252,3989,473,2094,10224,278,162,6701,4908,1006,6,5,0,0,0,68,419,0,2,1111,1299,691,139,229,108,2,0,220,322,2570,134,0,40,0,1,916,2073,868,837,144,3984,570,11,448,0,1208,0,0,21,12,21,19,258,220,1455
OW/T1/2,764,0,2,0,4,0,0,447,11595,754,6182,843,6412,11368,2641,578,10402,5844,2049,10,2,0,0,0,7,333,14,12,1447,1508,124,64,37,61,0,0,32,148,3275,201,0,10,0,0,2152,3719,899,1954,149,4338,234,7,288,53,1455,0,0,3,0,0,0,135,224,848
OW/T1/102,640,0,3,0,7,0,2,365,4195,298,4610,1588,5771,9001,867,194,7084,6084,2565,43,29,0,0,1,5,848,5,34,573,1330,1460,809,299,242,13,0,203,823,3256,99,13,58,15,0,641,490,793,2846,693,5393,922,130,1853,528,1767,7,4,261,0,2,0,66,50,401
OW/T1/202,955,2,0,1,0,1,0,417,9744,345,3876,698,4844,11100,906,273,7320,4668,1787,38,2,0,0,1,13,541,4,4,1296,1696,272,72,73,50,0,0,76,199,4084,380,0,18,2,1,1634,2776,838,1587,220,4792,253,28,501,202,1106,0,0,5,0,0,0,257,261,1557
AF/T3/2,1139,0,5,0,8,4,4,402,10598,272,3222,612,6431,12256,754,275,8854,4839,1390,22,1,4,0,0,12,644,1,7,1151,1564,195,81,62,49,0,0,50,193,4720,740,0,19,0,0,2284,4594,897,1563,168,4564,161,24,420,200,872,1,0,11,0,2,0,344,236,1817
AF/T3/102,1019,0,0,0,0,4,1,524,9041,350,4791,1107,4502,11333,1091,350,7558,5476,1899,15,0,0,0,2,11,580,4,13,954,1418,520,120,129,82,1,0,204,222,2269,101,0,29,0,0,1453,1512,637,2205,202,5314,387,102,903,198,1319,0,0,18,0,2,0,151,178,896
AF/T3/202,1069,0,1,0,7,0,4,431,10859,370,4646,503,4378,11741,1331,519,8923,4861,2165,7,0,0,0,0,9,408,3,2,1534,2177,137,46,46,30,0,0,46,136,3806,144,0,19,0,0,1972,2308,935,1604,251,4015,127,19,208,57,1123,0,0,2,1,0,0,403,385,1946
OTR/T1/0,1181,0,0,0,1,0,0,253,12218,491,7844,377,3778,13547,2266,907,15080,6578,1839,1,2,0,0,0,8,219,1,2,2249,1935,17,19,10,8,0,0,3,32,5372,630,1,20,0,0,3468,7228,1404,1894,188,3861,124,5,111,38,1096,0,0,0,0,0,0,230,569,1384
OTR/T1/100,785,1,0,1,1,8,1,728,10070,379,4440,489,5032,9684,902,187,5889,5552,1657,9,2,0,0,3,13,616,4,17,959,871,371,138,88,112,0,0,65,244,2184,168,7,68,0,0,1124,1692,550,1691,168,5164,577,35,750,550,1211,0,0,17,1,1,0,158,153,1013
OTR/T1/200,778,0,0,0,0,0,0,260,12897,593,9037,498,3556,14183,2815,1253,17722,7615,2705,1,0,0,0,0,11,130,0,0,2107,1753,39,27,20,15,0,0,11,54,4923,418,0,11,0,0,3438,7089,1347,2218,199,3778,13,3,78,4,1187,0,0,1,0,0,0,485,739,2937
RL/T2/0,451,1,6,3,4,8,4,492,8484,237,3877,1243,4952,8883,933,130,5929,5217,2263,44,5,2,0,2,3,562,2,13,756,528,881,561,293,274,9,0,208,907,1823,37,9,279,3,0,736,953,415,2888,280,5865,1600,117,1657,387,1271,0,2,22,0,2,0,185,191,1054
RL/T2/100,724,0,4,0,8,0,8,546,12340,718,6759,553,7095,11161,2240,569,8787,5711,1839,8,2,3,0,0,0,442,3,6,1363,1370,64,26,7,36,0,0,13,74,3429,165,0,15,0,0,2037,3457,855,1692,170,4734,72,15,253,238,1545,0,0,0,0,0,0,166,286,889
RL/T2/200,827,5,0,4,0,10,0,498,9427,422,4688,787,5882,10650,1015,285,6177,4926,1541,72,0,0,0,0,9,745,10,18,1004,1408,168,66,21,28,0,0,17,119,2818,202,0,25,0,0,1497,1821,674,1732,238,4881,256,14,625,385,1509,0,0,10,0,1,1,176,187,1055
HI/T1/0,975,4,0,2,0,8,0,724,9422,188,3278,590,6803,11515,447,198,7641,4983,960,22,0,0,0,0,37,816,2,1,709,1300,199,59,57,41,0,0,65,147,4338,829,17,40,9,2,2019,4203,899,1738,145,5179,486,42,504,181,998,0,0,1,0,1,1,278,253,1888
HI/T1/100,904,4,1,3,2,7,6,508,9782,197,2823,527,6914,11750,652,225,8338,4736,906,14,1,1,0,0,49,443,1,1,787,1340,283,84,101,73,0,0,120,192,4088,754,13,45,6,1,1945,4302,898,1603,136,4642,429,76,319,82,877,0,0,3,0,5,0,271,257,1881
HI/T1/200,1185,1,1,0,0,4,0,424,9531,247,3310,411,6356,12945,449,256,8691,5520,982,6,0,0,0,0,29,527,0,0,930,1449,144,48,60,45,1,0,55,136,3410,562,0,8,0,0,2004,3610,892,1323,114,4723,447,28,287,19,997,0,0,2,0,0,1,336,252,1809
