,amoA_A,amoA_B,amoB_A,amoB_B,amoC_A,amoC_B,hao,hcp,nao,napA,napB,napC,narB,narC,narG,narH,narI,narJ,narV,narY,narZ,nasA,nasB,nifD,nifH,nifK,nirA,nirB,nirD,nirK,nirS,nmo,norB,norC,nosZ,nrfA,nrfC,nxrB,pmoA,pmoB,pmoC,ureA,ureB,ureC,DMF,Conductivity (uS/cm),pH,C,N,P,Cl,NO2,Br,NO3,PO4,SO4,K,Ca,Mg,Zn,B,S,Cu,Fe,Mn,Na,Al,CECe,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,2O,K2O,P2O5,SO3,Cl
AF/T3/102,0,0,0,0,4,1,15,0,11,580,4,13,954,1418,520,120,129,82,1,204,222,2269,101,0,29,0,1453,1512,637,2205,202,5314,387,102,903,198,1319,18,0,2,0,151,178,896,0.983216394,533,7.8,550.7,71,780,276.4846746,0,0,0.892260058,0,782.9203933,38.363,438.272,50.996,0.284,1.591,271.839,1.419,157.747,1.641,259.435,63.618,26.233,63.646,0.815,13.616,8.017,0.128,4.129,5.208,3.261,1.377,0.164,0.072,634
AF/T3/2,0,5,0,8,4,4,22,1,12,644,1,7,1151,1564,195,81,62,49,0,50,193,4720,740,0,19,0,2284,4594,897,1563,168,4564,161,24,420,200,872,11,0,2,0,344,236,1817,0.976106826,1230,8.9,1730,190,1600,0,0,1.284875215,2.981312022,1.93735091,487.9263439,101.639,407.704,142.974,0.857,2.721,155.281,5.614,187.411,11.349,1180.27,89.033,31.005,61.444,0.961,14.11,8.506,0.12,4.167,5.332,3.452,1.646,0.282,0.076,2652
AF/T3/202,0,1,0,7,0,4,7,0,9,408,3,2,1534,2177,137,46,46,30,0,46,136,3806,144,0,19,0,1972,2308,935,1604,251,4015,127,19,208,57,1123,2,1,0,0,403,385,1946,0.99409151,230,6.6,814,84,730,214.3351063,0,0,0.75889514,0,137.4605363,48.812,120.49,77.477,0.712,1.448,34.542,3.645,137.333,4.6,188.697,70.975,24.584,64.87,0.666,14.284,6.481,0.1009,3.535,4.991,3.533,1.531,0.1762,0.017,608
BP/T3/102,10,0,4,0,26,0,14,0,39,701,1,7,929,921,625,272,212,207,0,206,428,2810,155,23,183,7,1095,1148,684,1960,166,5225,1146,89,777,115,1384,20,0,4,0,264,255,1516,0.904742261,56.4,6.52,2100,120,680,65.18033053,0.075,0.075,0.898251852,1.260530223,11.77156571,46.2,102.3,105.5,1.16,0.4,8.9,2.19,124.54,17.03,64.3,180.6,1.78,28.649,0.599,87.435,4.371,0.0938,1.16,2.97,2.879,2.789,0.1627,0.009,121
BP/T3/2,6,2,8,1,23,8,26,2,44,496,2,8,1033,917,1018,336,303,291,1,312,610,2397,77,20,148,4,1078,780,673,2232,187,5473,1430,100,1068,51,1293,29,1,3,1,225,224,1383,0.908120575,36.6,6.64,1200,110,610,36.75737641,0.075,0.075,1.388300145,1.197847418,9.47752915,45.3,102,93.8,0.45,0.32,7.1,1.66,100.58,15.89,58.8,193.26,1.67,33.074,1.076,86.739,6.728,0.129,1.55,3.324,2.771,2.955,0.205,0.019,85
BP/T3/202,14,0,12,0,20,2,24,3,43,461,2,4,1077,873,660,212,155,161,2,177,233,2205,55,11,123,0,1145,671,641,1745,174,5099,1101,81,850,58,1415,45,0,2,1,209,206,1260,0.872642164,16.3,6.6,2000,150,920,13.6157513,0.075,0.075,0.955660673,0.979793518,4.474229513,55.2,112.1,113.4,1.09,0.1,8.8,2.12,167.99,18.35,16.5,340.7,1.71,32.8255,1.1085,86.7295,6.814,0.1243,1.437,3.39,2.861,3.042,0.2023,0.017,170
HI/T1/0,4,0,2,0,8,0,22,0,37,816,2,1,709,1300,199,59,57,41,0,65,147,4338,829,17,40,9,2019,4203,899,1738,145,5179,486,42,504,181,998,1,0,1,1,278,253,1888,0.9484816,173.6,6.18,1800,410,1300,208.7436431,0.075,0.303558353,1.303808007,2.284152196,35.72533468,117.4,80.7,79.2,1,1.01,19.1,3.45,76.19,2.8,334.8,183.84,2.81,36.177,1.161,86.043,7.01,0.1329,1.855,4.049,2.96,3.101,0.3008,0.032,133
HI/T1/200,1,1,0,0,4,0,6,0,29,527,0,0,930,1449,144,48,60,45,1,55,136,3410,562,0,8,0,2004,3610,892,1323,114,4723,447,28,287,19,997,2,0,0,1,336,252,1809,0.939089525,115.9,6.555,400,90,1600,112.3609904,0.075,0.075,0.38,6.708736788,36.4854788,90.8,305.7,45.2,2.62,0.1,20.7,2.57,251.61,2.17,177.2,243.45,2.9,35.341,0.916,86.255,6.689,0.1385,2.578,4.797,2.915,3.1,0.4449,0.054,346
MP/T2/102,2,12,0,0,5,0,14,0,105,402,0,2,1145,1275,550,115,247,118,2,223,322,2326,117,0,43,0,962,2041,892,698,134,4098,461,18,328,0,1101,10,23,65,54,220,200,1341,0.962826246,31.1,5.3,1326.953766,29.9,23.8,28.76090884,0.075,0.075,0.38,0.075,9.973302452,0.45,0.1,17.7,0.98,80.72,1.5,27.9,309.63,1.54,0.39712023,0.07,0.06,31.059,0.455,86.084,4.931,0.1353,1.699,2.566,3.128,3.206,0.1486,0.054,38
MP/T2/2,3,0,2,0,9,0,3,1,136,331,0,0,1293,1848,1576,446,648,335,2,803,1203,2156,102,1,21,0,1441,2302,809,1177,140,4108,551,18,592,0,1042,8,0,6,0,257,222,1356,0.977604806,57.2,6.8,275,25.1,23.4,62.06134067,0.075,0.075,0.38,0.075,27.69646838,0.45,0.1,18.9,3.08,106.89,0.65,59.1,177.9,1.645,0.63,0.11,0.06,39.404,0.713,85.879,11.877,1.0328,2.275,3.158,2.172,2.501,0.8301,0.224,131
MP/T2/202,2,1,3,0,4,0,6,5,68,419,0,2,1111,1299,691,139,229,108,2,220,322,2570,134,0,40,0,916,2073,868,837,144,3984,570,11,448,0,1208,21,12,21,19,258,220,1455,0.943240579,66.6,5.35,1248.9054,19.4,29.1,90.86977385,0.075,0.075,0.075,0.075,12.34871692,0.45,0.1,18,0.88,54.36,2.89,62,258.66,1.75,0.579449322,0.09,0.07,26.638,0.442,86.666,3.599,0.1047,0.966,2.14,2.985,3.83,0.1581,0.008,86
OW/T1/102,0,3,0,7,0,2,43,29,5,848,5,34,573,1330,1460,809,299,242,13,203,823,3256,99,13,58,15,641,490,793,2846,693,5393,922,130,1853,528,1767,261,0,2,0,66,50,401,0.890331212,15300,8.5,4484,280,610,0,0,17.78477643,1.690789151,0,542.8062982,405.256,4339.52,2952.48,2.912,3.247,207.652,14.124,194.223,47.344,10094.7,197.087,113.3,61.357,0.764,12.439,8.16,0.1249,4.76,5.388,3.752,1.628,0.176,0.084,28050
OW/T1/2,0,2,0,4,0,0,10,2,7,333,14,12,1447,1508,124,64,37,61,0,32,148,3275,201,0,10,0,2152,3719,899,1954,149,4338,234,7,288,53,1455,3,0,0,0,135,224,848,0.908150673,8580,8.3,5869,510,690,10968.84372,0.309624927,3.147007453,44.22053053,0,3167.310726,259.35,3046.82,1398.81,2.571,15.528,1606.91,17.927,353.24,24.674,8101.78,246.385,85.02,58.332,0.972,12.791,10.838,0.1372,5.29,4.695,3.255,1.661,0.188,0.441,18100
OW/T1/202,2,0,1,0,1,0,38,2,13,541,4,4,1296,1696,272,72,73,50,0,76,199,4084,380,0,18,2,1634,2776,838,1587,220,4792,253,28,501,202,1106,5,0,0,0,257,261,1557,0.98540054,114,9.2,1304,120,710,104.2819584,0,0,0,2.516451752,21.2588262,53.75,164.456,161.922,0.629,0.507,9.245,3.833,167.871,16.595,166.665,92.28,25.415,60.878,0.849,13.67,11.057,0.1706,4.958,5.104,2.65,1.316,0.1542,0.037,360
RL/T2/0,1,6,3,4,8,4,44,5,3,562,2,13,756,528,881,561,293,274,9,208,907,1823,37,9,279,3,736,953,415,2888,280,5865,1600,117,1657,387,1271,22,0,2,0,185,191,1054,0.880255591,342,7.2,1234,120,1700,452.7136995,0,1.037041987,1.251430475,5.125380592,64.42623347,74.403,161.907,160.29,1.433,0.961,40.618,6.09,288.197,29.039,623.865,138.271,27.431,58.535,1.148,14.922,9.695,0.1223,4.295,5.796,3.822,1.957,0.4241,0.054,1406
RL/T2/100,0,4,0,8,0,8,8,2,0,442,3,6,1363,1370,64,26,7,36,0,13,74,3429,165,0,15,0,2037,3457,855,1692,170,4734,72,15,253,238,1545,0,0,0,0,166,286,889,0.959028184,1500,9.5,1687,270,1800,0,0,1.280621215,16.25366393,7.737289393,250.9238496,502.681,1026.66,509.407,1.737,13.619,103.485,8.341,179.195,27.849,1875.57,167.568,41.159,59.147,1.054,14.439,9.467,0.1191,4.31,4.949,3.582,2.357,0.4228,0.065,2430
RL/T2/200,5,0,4,0,10,0,72,0,9,745,10,18,1004,1408,168,66,21,28,0,17,119,2818,202,0,25,0,1497,1821,674,1732,238,4881,256,14,625,385,1509,10,0,1,1,176,187,1055,0.938127123,3280,7.4,1114,130,1700,0,0.221136435,3.220900249,22.12806544,3.648751177,312.6196167,463.144,197.285,423.885,1.52,2.708,116.674,5.999,199.478,61.441,3987.94,243.848,45.404,57.456,1.093,14.935,10.055,0.1279,4.597,5.047,3.91,2.418,0.3949,0.069,7542
